identifier,entityName,attributeName,attributeDefinition,attributeLabel,attributeUnit,ECSO_,who,notes
doi:10.18739/A20298,Polaris_2017_Aquatic.csv,Field flux CO2 mg-C/m2 day,Carbon dioxide emissions from the water surface measured in situ with an LGR greenhouse gas analyzer,,milligramsPerSquareMeterPerDay,00000014,,
doi:10.18739/A2357G,alex_fiord_mesic_tndr.txt,Net,Net carbon dioxide exchange (umol m-2 s-1),,micromolesPerSquareMeterPerSecond,00000014,,
doi:10.18739/A2QV8B,alex_fiord_dry_tndr.txt,Net,Net carbon dioxide exchange (umol m-2 s-1),,micromolesPerSquareMeterPerSecond,00000014,,
doi:10.18739/A2VP16,alex_fiord_wet_tndr.txt,Net,Net carbon dioxide exchange (umol m-2 s-1),,micromolesPerSquareMeterPerSecond,00000014,,
doi:10.18739/A2N562,JEco_HerbEx.csv,NEE,Net ecosystem CO2 exchange in g C/m^2/day,,gramsPerSquareMeterPerDay,00000014,,
doi:10.18739/A20C33,BEC_2006_JuneAug_v.txt,NEE,net ecosystem exchange,,micromolsPerSquareMeterPerSecond,00000014,,
doi:10.18739/A20C33,BEN_2008_12June_31Aug_v.txt,NEE,net ecosystem exchange,,micromolsPerSquareMeterPerSecond,00000014,,
doi:10.18739/A20C33,BEN_2007_12June_31Aug_v.txt,NEE,net ecosystem exchange,,micromolsPerSquareMeterPerSecond,00000014,,
doi:10.18739/A20C33,BEN_2005_JulyAug_v.txt,NEE,net ecosystem exchange,,micromolsPerSquareMeterPerSecond,00000014,,
doi:10.18739/A20C33,BES_2006_JuneAug_v.txt,NEE,net ecosystem exchange,,micromolsPerSquareMeterPerSecond,00000014,,
doi:10.18739/A20C33,BES_2008_12June_31Aug_v.txt,NEE,net ecosystem exchange,,micromolsPerSquareMeterPerSecond,00000014,,
doi:10.18739/A20C33,BEC_2008_12June_31Aug_v.txt,NEE,net ecosystem exchange,,micromolsPerSquareMeterPerSecond,00000014,,
doi:10.18739/A20C33,BES_2007_12JuneAug_v.txt,NEE,net ecosystem exchange,,micromolsPerSquareMeterPerSecond,00000014,,
doi:10.18739/A20C33,BES_2005_12JuneAug_v.txt,NEE,net ecosystem exchange,,micromolsPerSquareMeterPerSecond,00000014,,
doi:10.18739/A20C33,BEC_2005_12JuneAug_v.txt,NEE,net ecosystem exchange,,micromolsPerSquareMeterPerSecond,00000014,,
doi:10.18739/A20C33,BEN_2006_12JuneAug_v.txt,NEE,net ecosystem exchange,,micromolsPerSquareMeterPerSecond,00000014,,
doi:10.18739/A20C33,BEC_2007_12June_31Aug_v.txt,NEE,net ecosystem exchange,,micromolsPerSquareMeterPerSecond,00000014,,
doi:10.18739/A20K2S,thule_plot_flux_2013.csv,nee,net ecosystem exchange,,micromolsPerSquareMeterPerSecond,00000014,,
doi:10.18739/A2RS2P,AMF_US-EML_BASE_HH_1-4.csv,NEE_PI_F,"Net Ecosystem Exchange; With qualifier '_PI_F' (Provided by PI / tower team); Use: network team only; Details: _PI indicates a variable that has been QA/QC filtered or gap-filled by the tower team, independently of network QA/QC or gap-filling processing.; (Gap-filled variable); Use: tower team or network team; Details: _F indicates that the variable has been gap-filled.",,micromolesPerMeterSquaredPerSecond,00000014,,
